origin_municipality_code,label,n_trips,n_escorted,escort_rate,crime_count,crime_per100trips,escort_ele,escort_mid,escort_hig
201,Naha,3151,1631,0.5176134560456997,918.0,29.133608378292607,0.011142061281337047,0.02788339670468948,0.9738442822384428
205,Itoman,802,461,0.5748129675810474,120.0,14.962593516209477,0.023529411764705882,0.04,0.9846827133479212
208,Urasoe,1118,601,0.537567084078712,201.0,17.978533094812164,0.021929824561403508,0.02112676056338028,0.9735973597359736
209,Nanjo,18,11,0.6111111111111112,124.0,688.8888888888889,0.0,0.0,1.0
210,Tomigusuku,455,254,0.5582417582417583,124.0,27.252747252747252,0.02531645569620253,0.024390243902439025,0.9841897233201581
211,Ginowan,1153,658,0.5706851691240243,232.0,20.121422376409367,0.012875536480686695,0.08823529411764706,0.9737654320987654
212,Okinawa C.,573,337,0.5881326352530541,87.0,15.18324607329843,0.04310344827586207,0.03937007874015748,0.990909090909091
213,Uruma,916,559,0.6102620087336245,142.0,15.502183406113538,0.006622516556291391,0.025,0.9787610619469026
215,Yomitan,404,228,0.5643564356435643,54.0,13.366336633663368,0.029850746268656716,0.06086956521739131,0.9864864864864865
324,Chatan,268,157,0.585820895522388,46.0,17.16417910447761,0.07547169811320754,0.01694915254237288,0.9743589743589743
325,Kadena,90,44,0.4888888888888889,16.0,17.77777777777778,0.0,0.043478260869565216,1.0
326,Nishihara,204,97,0.47549019607843135,82.0,40.19607843137255,0.01818181818181818,0.0,0.9896907216494846
327,Yonabaru,186,107,0.5752688172043011,18.0,9.67741935483871,0.022727272727272728,0.08108108108108109,0.9809523809523809
328,Kitanakagusuku,207,135,0.6521739130434783,17.0,8.212560386473431,0.0,0.0,0.9854014598540146
329,Nakagusuku,324,189,0.5833333333333334,27.0,8.333333333333332,0.03076923076923077,0.0821917808219178,0.9731182795698925
348,Yaese,170,93,0.5470588235294118,17.0,10.0,0.0,0.02631578947368421,0.9787234042553191
350,Okinawa C.,380,211,0.5552631578947368,82.0,21.578947368421055,0.02247191011235955,0.04878048780487805,0.9808612440191388
362,Yonabaru,239,138,0.5774058577405857,49.0,20.502092050209207,0.022222222222222223,0.017857142857142856,0.9855072463768116
